('BP021', 'Beras Siger', 'BKP', 13.5, 344, 1.1, 0.2, 28.3, 5.6),  
('BP022', 'Biji nangka/Biji salak', 'KZGMI-2001', 40.5, 262, 2.3, 5.4, 51.1, 8.0),  
('BP023', 'Bubur sagu', 'KZGMI-2001', 62.5, 167, 0.2, 4.0, 33.0, NULL),  
('BP024', 'Cassavastick', 'KZGPI-1990', 5.6, 460, 0.8, 18.7, 17.2, 1.6),  
('BP025', 'Ceriping getuk singkong', 'KZGPI-1990', 7.2, 462, 1.2, 20.7, 67.7, 0.6),  
('BP026', 'Gatot', 'BKP', 12.8, 347, 1.3, 0.7, 83.8, 5.8),  
('BP027', 'Geblek', 'BKP', 52.1, 195, 0.4, 1.7, 44.4, 3.6),  
('BP028', 'Getuk goreng', 'KZGPI-1990', 16.5, 360, 1.3, 6.4, 74.3, 0.8),  
('BP029', 'Getuk singkong', 'KZGPI-1990', 49.8, 204, 0.5, 1.4, 47.4, 0.8),  
('BP030', 'Gurandil', 'KZGPI-1990', 47.5, 218, 0.5, 2.5, 48.5, 3.1),  
('BP031', 'Kabuto', 'KZGMI-2001', 58.9, 250, 2.6, 2.5, 35.4, 1.8),  
('BP032', 'Kapurung', 'KZGMI-2001', 79.6, 41, 2.0, 0.3, 7.8, 2.0),  
('BP033', 'Kecimpring singkong goreng', 'KZGPI-1990', 3.7, 464, 1.2, 18.6, 73.0, 1.3),  
('BP034', 'Keremes', 'KZGPI-1990', 6.7, 475, 1.6, 25.2, 64.4, 2.1),  
('BP035', 'Keripik gadung', 'KZGPI-1990', 4.0, 446, 2.8, 14.5, 76.0, 1.7),  
('BP036', 'Keripik kentang', 'KZGMI-2001', 7.8, 448, 2.7, 18.8, 67.1, 3.8),  
('BP037', 'Keripik singkong', 'KZGPI-1990', 4.2, 478, 0.9, 20.7, 72.0, 2.0),
('BP038', 'Keripik singkong berbumbu', 'KZGPI-1990', 2.2, 481, 2.2, 19.7, 73.6, 1.6),  
('BP039', 'Keripik ubi', 'KZGMI-2001', 6.0, 486, 0.2, 23.9, 67.6, 14.3),  
('BP040', 'Kerupuk cumi goreng', 'KZGMI-2001', 3.4, 444, 6.9, 14.6, 71.3, 5.0),  
('BP041', 'Kerupuk kemplang (ikan) mentah', 'KZGMI-2001', 14.2, 325, 1.8, 0.4, 78.5, 4.5),  
('BP042', 'Kerupuk kemplang goreng', 'KZGPI-1990', 5.8, 504, 5.6, 28.1, 57.1, 0.3),  
('BP043', 'Kerupuk kemplang panggang', 'KZGPI-1990', 9.4, 356, 9.7, 1.1, 76.9, 1.0),  
('BP044', 'Kerupuk mie kuning goreng', 'KZGPI-1990', 7.2, 476, 0.1, 21.1, 71.3, 4.2),  
('BP045', 'Kerupuk udang goreng', 'KZGMI-2001', 4.4, 477, 4.7, 20.5, 68.5, 5.0),  
('BP046', 'Kue bangket', 'KZGMI-2001', 16.1, 338, 1.5, 1.2, 80.3, NULL),  
('BP047', 'Kue putu singkong', 'KZGMI-2001', 44.2, 217, 1.2, 0.5, 53.2, 2.4),  
('BP048', 'Lanting getuk', 'KZGPI-1990', 4.2, 422, 0.9, 10.8, 80.4, 1.4),  
('BP049', 'Mi golosor', 'KZGPI-1990', 82.9, 71, 0.2, 0.8, 15.9, 0.1),  
('BP050', 'Mie Bendo', 'BKP', 11.5, 353, 0.3, 0.0, 88.0, 2.4),  
('BP051', 'Mie Sagu', 'BKP', 52.8, 190, 0.2, 0.4, 46.5, 1.4),  
('BP052', 'Ongol-ongol sagu', 'KZGPI-1990', 75.3, 111, 0.3, 2.7, 21.2, 0.3),  
('BP053', 'Oyek', 'BKP', 12.6, 351, 0.9, 0.9, 84.9, 4.3),  
('BP054', 'Papeda', 'KZGMI-2001', 84.8, 61, 0.2, 0.1, 14.9, 0.5),  
('BP055', 'Rasbi (Beras Ubi)', 'BKP', 11.1, 394, 2.2, 8.8, 76.6, 6.8),  
('BP056', 'Rasi (Beras Singkong)', 'BKP', 12.6, 350, 0.9, 0.4, 85.7, 14.4),  
('BP057', 'Sagu forno', 'KZGMI-2001', 31.5, 291, 0.5, 4.0, 63.4, NULL),  
('BP058', 'Sagu Lemak (Kue Sagon)', 'BKP', 4.3, 452, 2.8, 14.8, 76.8, 1.1),  
('BP059', 'Sagu manis', 'KZGMI-2001', 32.6, 287, 0.5, 3.9, 62.4, NULL),  
('BP060', 'Sagu Rendang', 'BKP', 8.2, 364, 0.1, 0.2, 90.5, 1.9),  
('BP061', 'Sagu sinole', 'KZGMI-2001', 22.0, 354, 0.8, 8.3, 68.9, NULL),
('BP062', 'Serimping talas', 'KZGPI-1990', 4.8, 478, 2.5, 21.2, 69.2, 1.7),  
